作品名,放送開始日,スタッフ,公式サイト,Link,公式Twitter,URL
ヴィジュアルプリズン,最速放送日  2021年10月～(放送局未定),"原作：上松範康/Afredes、キャラクター原案：片桐いくみ、総監督：古田丈司、監督：田中智也、シリーズ構成：菅原雪絵、キャラクターデザイン：芝美奈子、サブキャラクターデザイン：山口仁七/矢向宏志/横山穂乃花、総作画監督：矢向宏志/山口仁七/川﨑玲奈、プロップデザイン：木藤貴之、美術監修：加藤浩、美術監督：坂上裕文、美術設定：加藤浩/前田みつき、色彩設計：ホカリカナコ/森田真由、CG監督：雲藤隆太、撮影監督：鈴木彬人、編集：西村英一、音響監督：本山哲、音楽：Elements Garden
            、制作会社：A-1 Pictures",「ヴィジュアルプリズン」公式サイト,https://visualprison.com/,「ヴィジュアルプリズン」公式Twitter,https://twitter.com/visualprison
王様ランキング,最速放送日  2021年10月～(フジテレビ),"原作：十日草輔(ビームコミックス/KADOKAWA刊)、監督：八田洋介、副監督：今井有文、シリーズ構成：岸本卓、キャラクターデザイン・総作画監督：野崎あつこ、サブキャラクターデザイン・総作画監督：河毛雅妃、チーフ演出：渕上真、メインアニメーター：大城勝/小笠原真/藤井望、美術監督：金子雄司、美術設定：藤井一志、色彩設計：橋本賢、撮影監督：出水田和人/上田程之、編集：廣瀬清志、音楽：MAYUKO、音響監督：えびなやすのり、音響効果：緒方康恭、アニメーションプロデューサー：岡田麻衣子
            、制作会社：WIT STUDIO",「王様ランキング」公式サイト,https://osama-ranking.com/,「王様ランキング」公式Twitter,https://twitter.com/osama_ranking
海賊王女,最速放送日  2021年10月～(放送局未定),"原作：中澤一登×Production I.G、監督：中澤一登、脚本：窪山阿佐子、音楽：梶浦由記、音楽制作：FlyingDog
            、制作会社：プロダクションI.G",「海賊王女」公式サイト,http://fena-pirate-princess.com/,「海賊王女」公式Twitter,https://twitter.com/fena_pirate
ガンダムブレイカー バトローグ,最速放送日  2021年秋～(YouTubeガンダムチャンネル),"原作：矢立 肇/富野由悠季、監督：大張正己、企画・製作：サンライズ、メカニックデザイン：大河原邦男/海老川兼武/安藤孝太郎/倉持キョーリュー/瀧川虚至/鷲尾直広
            、制作会社：サンライズ",「ガンダムブレイカー バトローグ」公式サイト,http://g-bb.net/,,
吸血鬼すぐ死ぬ,最速放送日  2021年10月～(放送局未定),"原作：盆ノ木至(秋田書店「週刊少年チャンピオン」連載)、監督：神志那弘志、シリーズ構成：菅原雪絵、キャラクターデザイン：中野繭子
            、制作会社：マッドハウス",「吸血鬼すぐ死ぬ」公式サイト,https://sugushinu-anime.jp/,「吸血鬼すぐ死ぬ」公式Twitter,https://twitter.com/johnwakawaii
境界戦機,最速放送日  2021年秋～(放送局未定),"監督：羽原信義、シリーズ構成：木村暢、キャラクターデザイン：大貫健一、メカニックデザイン：小柳祐也/海老川兼武/寺岡賢司/形部一平、メカニックデザインスーパーバイザー：奥山清行、音楽：ラスマス・フェイバー
            、制作会社：SUNRISE BEYOND",「境界戦機」公式サイト,https://www.kyoukai-senki.net/,「境界戦機」公式Twitter,https://twitter.com/kyoukai_senki
古見さんは、コミュ症です。,最速放送日  2021年10月～(テレビ東京),"総監督：渡辺歩、監督：川越一生、シリーズ構成：赤尾でこ、キャラクターデザイン：中嶋敦子
            、制作会社：OLM",「古見さんは、コミュ症です。」公式サイト,https://komisan-official.com,「古見さんは、コミュ症です。」公式Twitter,https://twitter.com/comisanvote
最果てのパラディン,最速放送日  2021年10月～(放送局未定),"原作：柳野かなた(オーバーラップ文庫刊)、キャラクター原画：輪くすさが、監督：信田ユウ、シリーズ構成：髙橋龍也、キャラクターデザイン：羽田浩二
            、制作会社：Children’s Playground Entertainment",「最果てのパラディン」公式サイト,https://farawaypaladin.com/,「最果てのパラディン」公式Twitter,https://twitter.com/faraway_paladin
サクガン,最速放送日  2021年秋～(放送局未定),"原作：コロニー大会議、原案：戌井猫太郎『削岩ラビリンスマーカー』 (エブリスタ)、キャラクター原案：岩原裕二、監督：和田純一、助監督：三塩天平、シナリオ：永井真吾/望月真里子/根元歳三、アニメーションキャラクターデザイン：望月俊平、コンセプトデザイン：幸田和磨、カイジュウコンセプトデザイン：河森正治、カイジュウ・メカニックデザイン：大河広行、メカニックデザイン：ブリュネ・スタニスラス、プロップデザイン：石本剛啓/森岡賢一、美術設定：坂本竜、美術監督：大西穣、色彩設計：長谷川美穂、撮影監督：志村豪、編集：松本秀治、3DCGディレクター：後藤浩幸、2Dワークス：中村倫子、音響監督：木村絵理子、音楽：加藤達也、音響制作：東北新社、音楽制作：ランティス
            、制作会社：サテライト",「サクガン」公式サイト,https://sakugan-anime.com/,「サクガン」公式Twitter,https://twitter.com/intent/follow?screen_name=ANIMA_info
シキザクラ,最速放送日  2021年10月～(放送局未定),"原作：サブリメイション、総監督：須貝真也、監督：黒﨑豪、シリーズ構成：永川成基、原案デザイン：井上涼雅、キャラクターデザイン：中武学、CGディレクター：佐藤真/佐藤悠、モデルチーフ：本田崇、美術監督：小島俊彦、色彩設計：野地弘納、撮影監督：山﨑忠明、編集：神野学、音響監督：齋藤匠、録音スタジオ：東海サウンド、音楽：chick tack corea、キャスティング：TYK Promotion、制作協力：K&Kデザイン
            、制作会社：サブリメイション",「シキザクラ」公式サイト,https://shikizakura-anime.com/,「シキザクラ」公式Twitter,https://twitter.com/ShikizakuraA
